Code,Sector_Title,Number_of_US_Entities
334513,"Instruments and Related Products Manufacturing for Measuring, Displaying, and Controlling Industrial Process Variables","2,675"
334514,Totalizing Fluid Meter and Counting Device Manufacturing,356
334515,Instrument Manufacturing for Measuring and Testing Electricity and Electrical Signals,"1,856"
334516,Analytical Laboratory Instrument Manufacturing,"2,426"
334517,Irradiation Apparatus Manufacturing,283
334519,Other Measuring and Controlling Device Manufacturing,"3,367"
334610,Manufacturing and Reproducing Magnetic and Optical Media,"2,210"
335131,Residential Electric Lighting Fixture Manufacturing,586
335132,"Commercial, Industrial, and Institutional Electric Lighting Fixture Manufacturing",932
335139,Electric Lamp Bulb and Other Lighting Equipment Manufacturing,"2,167"
335210,Small Electrical Appliance Manufacturing,917
335220,Major Household Appliance Manufacturing,882
335311,"Power, Distribution, and Specialty Transformer Manufacturing",813
335312,Motor and Generator Manufacturing,"1,536"
335313,Switchgear and Switchboard Apparatus Manufacturing,864
335314,Relay and Industrial Control Manufacturing,"1,798"
335910,Battery Manufacturing,831
335921,Fiber Optic Cable Manufacturing,99
335929,Other Communication and Energy Wire Manufacturing,553
335931,Current-Carrying Wiring Device Manufacturing,709
335932,Noncurrent-Carrying Wiring Device Manufacturing,465
335991,Carbon and Graphite Product Manufacturing,310
335999,All Other Miscellaneous Electrical Equipment and Component Manufacturing,"4,023"
336110,Automobile and Light Duty Motor Vehicle Manufacturing,"1,494"
336120,Heavy Duty Truck Manufacturing,672
336211,Motor Vehicle Body Manufacturing,967
336212,Truck Trailer Manufacturing,"1,123"
336213,Motor Home Manufacturing,89
336214,Travel Trailer and Camper Manufacturing,697
336310,Motor Vehicle Gasoline Engine and Engine Parts Manufacturing,564
336320,Motor Vehicle Electrical and Electronic Equipment Manufacturing,"1,241"
336330,Motor Vehicle Steering and Suspension Components (except Spring) Manufacturing,157
336340,Motor Vehicle Brake System Manufacturing,167
336350,Motor Vehicle Transmission and Power Train Parts Manufacturing,498
336360,Motor Vehicle Seating and Interior Trim Manufacturing,496
336370,Motor Vehicle Metal Stamping,674
336390,Other Motor Vehicle Parts Manufacturing,"6,083"
336411,Aircraft Manufacturing,"2,388"
336412,Aircraft Engine and Engine Parts Manufacturing,"1,369"
336413,Other Aircraft Parts and Auxiliary Equipment Manufacturing,"3,477"
336414,Guided Missile and Space Vehicle Manufacturing,267
336415,Guided Missile and Space Vehicle Propulsion Unit and Propulsion Unit Parts Manufacturing,118
336419,Other Guided Missile and Space Vehicle Parts and Auxiliary Equipment Manufacturing,85
336510,Railroad Rolling Stock Manufacturing,919
336611,Ship Building and Repairing,"1,260"
336612,Boat Building,"2,879"
336991,"Motorcycle, Bicycle, and Parts Manufacturing","1,066"
336992,"Military Armored Vehicle, Tank, and Tank Component Manufacturing",233
336999,All Other Transportation Equipment Manufacturing,"1,875"
337110,Wood Kitchen Cabinet and Countertop Manufacturing,"15,698"
337121,Upholstered Household Furniture Manufacturing,770
337122,Nonupholstered Wood Household Furniture Manufacturing,"2,965"
337126,Household Furniture (except Wood and Upholstered) Manufacturing,"1,025"
337127,Institutional Furniture Manufacturing,"2,881"
337211,Wood Office Furniture Manufacturing,821
337212,Custom Architectural Woodwork and Millwork Manufacturing,808
337214,Office Furniture (except Wood) Manufacturing,499
337215,"Showcase, Partition, Shelving, and Locker Manufacturing","1,251"
337910,Mattress Manufacturing,675
337920,Blind and Shade Manufacturing,"1,238"
339112,Surgical and Medical Instrument Manufacturing,"6,590"
339113,Surgical Appliance and Supplies Manufacturing,"4,018"
339114,Dental Equipment and Supplies Manufacturing,"1,159"
339115,Ophthalmic Goods Manufacturing,958
339116,Dental Laboratories,"7,760"
339910,Jewelry and Silverware Manufacturing,"5,001"
339920,Sporting and Athletic Goods Manufacturing,"7,882"
339930,"Doll, Toy, and Game Manufacturing","3,635"
339940,Office Supplies (except Paper) Manufacturing,"1,573"
339950,Sign Manufacturing,"22,105"
339991,"Gasket, Packing, and Sealing Device Manufacturing",790
339992,Musical Instrument Manufacturing,"1,435"
339993,"Fastener, Button, Needle, and Pin Manufacturing",573
339994,"Broom, Brush, and Mop Manufacturing",336
339995,Burial Casket Manufacturing,93
339999,All Other Miscellaneous Manufacturing,"32,820"
423110,Automobile and Other Motor Vehicle Merchant Wholesalers,"7,978"
423120,Motor Vehicle Supplies and New Parts Merchant Wholesalers,"19,004"
423130,Tire and Tube Merchant Wholesalers,"3,127"
423140,Motor Vehicle Parts (Used) Merchant Wholesalers,"4,876"
423210,Furniture Merchant Wholesalers,"7,550"
423220,Home Furnishing Merchant Wholesalers,"13,458"
423310,"Lumber, Plywood, Millwork, and Wood Panel Merchant Wholesalers","21,048"
423320,"Brick, Stone, and Related Construction Material Merchant Wholesalers","10,278"
423330,"Roofing, Siding, and Insulation Material Merchant Wholesalers","3,173"
423390,Other Construction Material Merchant Wholesalers,"3,386"
423410,Photographic Equipment and Supplies Merchant Wholesalers,853
423420,Office Equipment Merchant Wholesalers,"6,158"
423430,Computer and Computer Peripheral Equipment and Software Merchant Wholesalers,"12,293"
423440,Other Commercial Equipment Merchant Wholesalers,"18,238"
423450,"Medical, Dental, and Hospital Equipment and Supplies Merchant Wholesalers","22,257"
423460,Ophthalmic Goods Merchant Wholesalers,362
423490,Other Professional Equipment and Supplies Merchant Wholesalers,"3,349"
423510,Metal Service Centers and Other Metal Merchant Wholesalers,"12,953"
423520,Coal and Other Mineral and Ore Merchant Wholesalers,"1,050"
423610,"Electrical Apparatus and Equipment, Wiring Supplies, and Related Equipment Merchant Wholesalers","21,728"
423620,"Household Appliances, Electric Housewares, and Consumer Electronics Merchant Wholesalers","3,594"
423690,Other Electronic Parts and Equipment Merchant Wholesalers,"15,062"
423710,Hardware Merchant Wholesalers,"6,310"
423720,Plumbing and Heating Equipment and Supplies (Hydronics) Merchant Wholesalers,"10,045"
423730,Warm Air Heating and Air-Conditioning Equipment and Supplies Merchant Wholesalers,"5,849"
423740,Refrigeration Equipment and Supplies Merchant Wholesalers,"2,244"
423810,Construction and Mining (except Oil Well) Machinery and Equipment Merchant Wholesalers,"9,155"
423820,Farm and Garden Machinery and Equipment Merchant Wholesalers,"9,755"
423830,Industrial Machinery and Equipment Merchant Wholesalers,"42,915"
423840,Industrial Supplies Merchant Wholesalers,"19,379"
423850,Service Establishment Equipment and Supplies Merchant Wholesalers,"19,986"
423860,Transportation Equipment and Supplies (except Motor Vehicle) Merchant Wholesalers,"7,737"
423910,Sporting and Recreational Goods and Supplies Merchant Wholesalers,"10,555"
423920,Toy and Hobby Goods and Supplies Merchant Wholesalers,"5,587"
423930,Recyclable Material Merchant Wholesalers,"6,195"
423940,"Jewelry, Watch, Precious Stone, and Precious Metal Merchant Wholesalers","11,758"
423990,Other Miscellaneous Durable Goods Merchant Wholesalers,"44,263"
424110,Printing and Writing Paper Merchant Wholesalers,838
424120,Stationery and Office Supplies Merchant Wholesalers,"6,246"
424130,Industrial and Personal Service Paper Merchant Wholesalers,"4,304"
424210,Drugs and Druggists' Sundries Merchant Wholesalers,"15,657"
424310,"Piece Goods, Notions, and Other Dry Goods Merchant Wholesalers","3,927"
424340,Footwear Merchant Wholesalers,"4,826"
424350,Clothing and Clothing Accessories Merchant Wholesalers,"13,273"
424410,General Line Grocery Merchant Wholesalers,"11,762"
424420,Packaged Frozen Food Merchant Wholesalers,"1,496"
424430,Dairy Product (except Dried or Canned) Merchant Wholesalers,"3,173"
424440,Poultry and Poultry Product Merchant Wholesalers,"1,478"
424450,Confectionery Merchant Wholesalers,"2,742"
424460,Fish and Seafood Merchant Wholesalers,"6,443"
424470,Meat and Meat Product Merchant Wholesalers,"3,207"
424480,Fresh Fruit and Vegetable Merchant Wholesalers,"7,137"
424490,Other Grocery and Related Products Merchant Wholesalers,"22,824"
424510,Grain and Field Bean Merchant Wholesalers,"8,575"
424520,Livestock Merchant Wholesalers,"9,988"
424590,Other Farm Product Raw Material Merchant Wholesalers,"4,842"
424610,Plastics Materials and Basic Forms and Shapes Merchant Wholesalers,"1,839"
424690,Other Chemical and Allied Products Merchant Wholesalers,"10,957"
424710,Petroleum Bulk Stations and Terminals,"2,047"
424720,Petroleum and Petroleum Products Merchant Wholesalers (except Bulk Stations and Terminals),"11,770"
424810,Beer and Ale Merchant Wholesalers,"2,994"
424820,Wine and Distilled Alcoholic Beverage Merchant Wholesalers,"7,828"
424910,Farm Supplies Merchant Wholesalers,"16,312"
424920,"Book, Periodical, and Newspaper Merchant Wholesalers","8,348"
424930,"Flower, Nursery Stock, and Florists' Supplies Merchant Wholesalers","5,715"
