LOCATION ACCOUNT #,BUSINESS NAME,DBA NAME,STREET ADDRESS,CITY,ZIP CODE,LOCATION DESCRIPTION,MAILING ADDRESS,MAILING CITY,MAILING ZIP CODE,NAICS,PRIMARY NAICS DESCRIPTION,COUNCIL DISTRICT,LOCATION START DATE,LOCATION END DATE,LOCATION,5d_zip,5d_zip_num,latitude,longitude
0003165149-0001-6,GREENCAL CONSTRUCTION INC,,20720 LEAPWOOD AVENUE,CARSON,90746-3649,20720 LEAPWOOD 90746-3649,9065 ROSECRANS AVENUE,BELLFLOWER,90706-2046,235610,"Roofing, Siding, and Sheet Metal Contractors (1997 NAICS)",0,2019-12-03,,"(33.8434, -118.258)",90746,90746.0,33.8434,-118.258
0002283473-0001-3,ARSHALOUIS DEDEIAN,,14103 GILMORE STREET UNIT #1,VAN NUYS,91401-1957,14103 GILMORE 91401-1957,,,,531100,Lessors of real estate (including mini warehouses & self-storage units),6,2003-04-02,,"(34.1876, -118.44)",91401,91401.0,34.1876,-118.44
0003077836-0001-1,SOPHIE COLE,,2219 PENMAR AVENUE,VENICE,90291-4060,2219 PENMAR 90291-4060,POST OFFICE BOX #810,VENICE,90294-0810,512100,Motion picture & video industries (except video rental),11,2014-01-01,,"(33.9967, -118.4528)",90291,90291.0,33.9967,-118.4528
0002677647-0001-1,SUBHAN GROUP INC,,19345 LORNE STREET,RESEDA,91335-1020,19345 LORNE 91335-1020,3450 WILSHIRE BLVD UNIT #108-37,LOS ANGELES,90010-2208,531100,Lessors of real estate (including mini warehouses & self-storage units),3,2013-01-01,,"(34.2164, -118.555)",91335,91335.0,34.2164,-118.555
0000827243-0001-1,CAROLINA SALAZAR,,3369 VINTON AVENUE #2,LOS ANGELES,90034-3723,3369 VINTON 90034-3723,3355 S CANFIELD AVENUE APT #3,LOS ANGELES,90034-2929,561500,Travel arrangement & reservation services,5,1999-02-10,,"(34.0285, -118.4086)",90034,90034.0,34.0285,-118.4086
0003194032-0001-4,SHARON C. NORTHRUP,,2415 FAIR OAKS AVENUE,ALTADENA,91001-5045,2415 Fair Oaks 91001-5045,,,,812990,All other personal services,0,2020-04-22,,"(34.1878, -118.1508)",91001,91001.0,34.1878,-118.1508
0002581133-0001-6,1415 LA BREA LLC,,1415 N LA BREA AVENUE,LOS ANGELES,90028-7505,1415 LA BREA 90028-7505,,,,532290,Other consumer goods rental,13,2007-01-01,,"(34.0963, -118.3441)",90028,90028.0,34.0963,-118.3441
0002952773-0001-0,RRC INC,,834 N OCCIDENTAL BLVD,LOS ANGELES,90026-2926,834 OCCIDENTAL 90026-2926,,,,541800,Advertising & related services,13,2016-09-01,,"(34.0808, -118.273)",90026,90026.0,34.0808,-118.273
0003122847-0001-7,WHITE LINE EXCHANGE,,600 S SPRING STREET UNIT #1510,LOS ANGELES,90014-1988,600 SPRING 90014,600 S SPRING STREET UNIT #1510,LOS ANGELES,90014-1988,541800,Advertising & related services,14,2019-04-29,,"(34.0455, -118.2509)",90014,90014.0,34.0455,-118.2509
0003177600-0001-2,MARIANNA JORDAN,,1617 1/2 GOLDEN GATE AVENUE,LOS ANGELES,90026-1166,1617 1/2 GOLDEN GATE 90026,1617 1/2 GOLDEN GATE AVENUE,LOS ANGELES,90026-1166,541990,"All other professional, scientific, & technical services",13,2020-01-15,,"(34.0907, -118.2753)",90026,90026.0,34.0907,-118.2753
0002423687-0001-4,ALEXANDER SCHROEDER,,3720 CARDIFF AVENUE APT #4,LOS ANGELES,90034-4015,3720 CARDIFF 90034-4015,5195 DAWES AVENUE,CULVER CITY,90230-6011,541510,Computer systems design & related services,5,2008-03-01,,"(34.0266, -118.3972)",90034,90034.0,34.0266,-118.3972
0002950692-0001-0,PASADENA UNIVERSITY,,3660 WILSHIRE BLVD #714,LOS ANGELES,90010-2768,3660 WILSHIRE 90010-2768,,,,611000,"Educational services (including schools, colleges, & universities)",10,2016-10-01,,"(34.0609, -118.305)",90010,90010.0,34.0609,-118.305
0000210096-0001-6,SEHMI MOTORS INC,,2042 S SEPULVEDA BLVD,LOS ANGELES,90025-5622,2042 SEPULVEDA 90025-5622,,,,811110,Automotive mechanical & electrical repair & maintenance,5,1976-10-01,2022-12-31,"(34.0424, -118.4398)",90025,90025.0,34.0424,-118.4398
0003049304-0001-6,KAREN AND VARTOUHI HARUTUNYAN,,5863 WHITNALL HIGHWAY,N HOLLYWOOD,91601-1415,5863 WHITNALL 91601-1415,18543 DEVONSHIRE STREET   UNIT #197,NORTHRIDGE,91324-1308,531100,Lessors of real estate (including mini warehouses & self-storage units),2,2017-03-31,,"(34.1771, -118.364)",91601,91601.0,34.1771,-118.364
0003281873-0001-6,HDRCONSTRUCTION LLC,HDR CONSTRUCTION,21800 VERNE AVENUE,HAWAIIAN GARDENS,90716-1630,21800 Verne 90716-1630,21800 VERNE AVENUE,HAWAIIAN GARDENS,90716-1630,233210,Single Family Housing Construction (1997 NAICS),0,2021-11-18,,"(33.8304, -118.0667)",90716,90716.0,33.8304,-118.0667
0003325297-0001-9,CONFIDENTIAL COLLISION LLC,,22920 LOCKNESS AVENUE,TORRANCE,90501-5117,22920 Lockness 90501-5117,,,,811120,"Automotive body, paint, interior, & glass repair",15,2022-07-26,,"(33.817, -118.304)",90501,90501.0,33.817,-118.304
0002726927-0001-5,"ANAHEIM URGENT CARE, INC.",VENICE URGENT CARE,2006 LINCOLN BLVD,VENICE,90291-3949,2006 LINCOLN 90291-3949,13037 SAN VICENTE BLVD,LOS ANGELES,90049-4814,621111,Offices of physicians (except mental health specialists),11,2014-01-31,,"(33.9955, -118.4557)",90291,90291.0,33.9955,-118.4557
0000774140-0001-3,SIYAMAK SAM YASHIRIM/DAVID VERDI,FOOTHILL ARCO,13883 FOOTHILL BLVD,SYLMAR,91342-3013,13883 FOOTHILL 91342-3013,,,,447100,Gasoline stations (including convenience stores with gas),7,1989-11-16,,"(34.3116, -118.4357)",91342,91342.0,34.3116,-118.4357
0002465013-0001-1,SUYIN LUO,SUNNY TRADING COMPANY,245 WINSTON STREET UNIT #5,LOS ANGELES,90013-1457,245 WINSTON 90013-1457,,,,423920,Toy & hobby goods & supplies,14,2009-04-01,,"(34.0461, -118.2462)",90013,90013.0,34.0461,-118.2462
0003389813-0001-8,1239 SO CIENEGA LLC,,1239 S LA CIENEGA BLVD,LOS ANGELES,90035-2544,1239 La Cienega 90035-2544,,,,531100,Lessors of real estate (including mini warehouses & self-storage units),5,2022-01-01,,"(34.0546, -118.3765)",90035,90035.0,34.0546,-118.3765
0002078139-0001-1,RICARDO & CECILIA ZUNIGA,,2833 ESTARA AVENUE,LOS ANGELES,90065-2266,2833 ESTARA 90065-2236,812 N JUAREZ STREET,MONTEBELLO,90640-2525,531100,Lessors of real estate (including mini warehouses & self-storage units),1,1989-04-01,,"(34.1137, -118.2369)",90065,90065.0,34.1137,-118.2369
0003102716-0001-1,TRAVIS A GARDNER,,20761 GAULT STREET,WINNETKA,91306-3308,20761 GAULT 91306-3308,,,,812990,All other personal services,3,2018-08-01,,"(34.1994, -118.5862)",91306,91306.0,34.1994,-118.5862
0003154560-0001-1,AMBER RUTHE,AMBER RUTHE,7982 1/2 DE GARMO AVENUE,SUN VALLEY,91352-4122,7982 DE GARMO 91352-4122,,,,711510,"Independent artists, writers, & performers",2,2017-12-15,,"(34.2162, -118.3545)",91352,91352.0,34.2162,-118.3545
0002549995-0001-5,HASINYI C LIU,,432 S NEW HAMPSHIRE AVENUE #105,LOS ANGELES,90020-1944,432 NEW HAMPSHIRE 90020-1944,5646 N WILLARD AVENUE APT #I,SAN GABRIEL,91776-1634,541219,Other accounting services,10,2009-03-15,2018-01-01,"(34.0667, -118.2929)",90020,90020.0,34.0667,-118.2929
0002089630-0001-4,SUSAN L OWEN,SUSAN L OWEN MFT,732 W 9TH STREET SUITE #201,SAN PEDRO,90731-3638,732 9TH 90731-3638,POST OFFICE BOX #9094,SAN PEDRO,90734-9094,624100,Individual & family services,15,2005-01-01,,"(33.736, -118.293)",90731,90731.0,33.736,-118.293
0002849821-0001-0,LOUIS L SLAPPY,FOCUS POINT COMMUNICATIONS,8939 S SEPULVEDA BLVD SUITE #250,LOS ANGELES,90045-3658,8939 SEPULVEDA 90045-3658,,,,235310,Electrical Contractors (1997 NAICS),11,2013-03-20,,"(33.9554, -118.3962)",90045,90045.0,33.9554,-118.3962
0003305227-0001-1,FAT PIGEON INC,,13801 VENTURA BLVD,SHERMAN OAKS,91423-3603,13801 Ventura 91423-3603,,,,812990,All other personal services,4,2021-01-01,,"(34.1487, -118.4333)",91423,91423.0,34.1487,-118.4333
0003160495-0001-4,MELANIE ANNE CHRISTENSEN,PACKHOUSE FILM,6757 GILL WAY,LOS ANGELES,90068-2282,6757 GILL 90068-2282,,,,711510,"Independent artists, writers, & performers",4,2016-06-01,,"(34.1174, -118.3328)",90068,90068.0,34.1174,-118.3328
0002181215-0002-2,TOROS BABURYAN,SATICOY AUTO COLLISION,12919 SATICOY STREET,NORTH HOLLYWOOD,91605-3508,12919 SATICOY 91605-3508,,,,441300,"Automotive parts, accessories, & tire stores",2,2012-12-17,2019-12-31,"(34.2066, -118.4147)",91605,91605.0,34.2066,-118.4147
0003234600-0001-1,KARAPET VAGANIAN,,627 E TUJUNGA AVENUE UNIT #C,BURBANK,91501-2234,627 Tujunga 91501-2234,,,,238990,All other specialty trade contractors,0,2017-02-01,,"(34.185, -118.3012)",91501,91501.0,34.185,-118.3012
0002562292-0001-6,DAVID WELLS,,21221 MARTINEZ STREET,WOODLAND HILLS,91364-3255,21221 MARTINEZ 91364-3255,,,,424990,Other miscellaneous nondurable goods,3,2011-01-02,,"(34.1637, -118.5947)",91364,91364.0,34.1637,-118.5947
0003415746-0001-6,MARIA DEL CARMEN MEJIA SOSA,NOVEDADES JONATHAN,6853 VAN NUYS BLVD,VAN NUYS,91405-4627,6853 VAN NUYS 91405-4627,13687 VAN NUYS BLVD SUITE #B,PACOIMA,91331,448110,Men's clothing stores,6,2024-01-26,,"(34.1955, -118.4492)",91405,91405.0,34.1955,-118.4492
0003034731-0001-3,ALEKSANDER STAJIC,,3660 MEIER STREET,LOS ANGELES,90066-3612,3660 MEIER 90066-3612,3660 MEIER STREET,LOS ANGELES,90066-3612,485990,Other transit & ground passenger transportation,11,2020-03-01,,"(34.0039, -118.4418)",90066,90066.0,34.0039,-118.4418
0003239765-0001-0,SUPREME INSTALLATION,,13873 RAYEN STREET,ARLETA,91331-6112,13873 RAYEN 91331,13873 RAYEN STREET,ARLETA,91331-6112,541990,"All other professional, scientific, & technical services",6,2019-01-01,,"(34.2341, -118.4359)",91331,91331.0,34.2341,-118.4359
0002558007-0001-7,CYNTHIA CENTENO,,1859 W 12TH STREET,LOS ANGELES,90006-4103,1859 12TH 90006-4103,,,,624410,Child day care services,1,2009-04-06,,"(34.0481, -118.2802)",90006,90006.0,34.0481,-118.2802
0002447555-0001-8,JUST FOR ENTERTAINMENT INC,,135 N NORTON AVENUE,LOS ANGELES,90004-3912,135 NORTON 90004-3912,,,,512100,Motion picture & video industries (except video rental),13,2007-01-03,2018-12-31,"(34.0735, -118.3171)",90004,90004.0,34.0735,-118.3171
0003324852-0001-3,WELL WORTH INC,CANOGA PARK MASSAGE,7551 TOPANGA CANYON BLVD,CANOGA PARK,91303-1215,7551 TOPANGA CANYON 91303-1215,11301 W OLYMPIC BLVD  UNIT #110,LOS ANGELES,90064-1652,812990,All other personal services,3,2022-06-30,,"(34.2078, -118.6061)",91303,91303.0,34.2078,-118.6061
0000881262-0001-8,HOLLYWOOD CATERERS INC,,7527 RESEDA BLVD #B,RESEDA,91335-2821,7527 RESEDA 91335-2821,,,,454390,"Other direct selling establishments (including door-to-door retailing, frozen food plan providers, party plan merchandisers, & coffee-break service providers)",4,1991-01-01,,"(34.207, -118.536)",91335,91335.0,34.207,-118.536
0000594414-0001-7,DAN MALONEY,MALONEY ENGINEEERING,25103 PETROLEUM AVENUE,HARBOR CITY,90710-3111,25103 PETROLEUM 90710-3111,,,,424990,Other miscellaneous nondurable goods,15,1997-01-01,,"(33.7967, -118.2937)",90710,90710.0,33.7967,-118.2937
0002634443-0001-0,ALBION OKLAHOMA LLC,,108 W 2ND STREET #106,LOS ANGELES,90012-1585,108 2ND 90012-1585,,,,531100,Lessors of real estate (including mini warehouses & self-storage units),14,2006-06-29,2018-12-31,"(34.0511, -118.2447)",90012,90012.0,34.0511,-118.2447
0003179094-0001-9,DE BONTE KOE LLC,,8383 WILSHIRE BLVD   SUITE #1000,BEVERLY HILLS,90211-2439,8383 WILSHIRE 90211-2439,8383 WILSHIRE BLVD   SUITE #1000,BEVERLY HILLS,90211-2439,711510,"Independent artists, writers, & performers",0,2019-09-08,,"(34.065, -118.3734)",90211,90211.0,34.065,-118.3734
0003167962-0001-1,PALM LOGISTICS CORP,,15201 OXNARD STREET,VAN NUYS,91411-2618,15201 OXNARD 91411-2618,POST OFFICE BOX #2657,CANYON COUNTRY,91386-2657,812990,All other personal services,6,2019-05-15,,"(34.1798, -118.4639)",91411,91411.0,34.1798,-118.4639
0002708602-0001-2,LUDMILA ZAYTSEV,ASPIRING MINDS CLINIC,15335 MORRISON STREET   #205,SHERMAN OAKS,91403-1513,15335 MORRISON 91403-1513,5045 CALATRANA DRIVE,WOODLAND HILLS,91364-1840,621330,Offices of mental health practitioners (except physicians),4,2013-01-01,,"(34.1611, -118.4678)",91403,91403.0,34.1611,-118.4678
0002810643-0001-5,"2 FAT DOGS, INC",,12045 JUNIETTE STREET,CULVER CITY,90230-6231,12045 JUNIETTE 90230-6231,21650 OXNARD STREET  SUITE #350,WOODLAND HILLS,91367-7855,711510,"Independent artists, writers, & performers",11,2015-03-01,,"(33.9839, -118.4072)",90230,90230.0,33.9839,-118.4072
0002487406-0001-1,EDWARD SPANGLER,,7035 LANEWOOD AVENUE   APT #404,HOLLYWOOD,90028-7025,7035 LANEWOOD 90028-7025,POST OFFICE BOX #153,LOS ANGELES,90078-0153,711510,"Independent artists, writers, & performers",13,2009-01-01,,"(34.0995, -118.3428)",90028,90028.0,34.0995,-118.3428
0002466092-0001-3,"VERENGO, INC.",,20285 S WESTERN AVENUE SUITE #200,TORRANCE,90501-1300,20285 WESTERN 90501-1300,535 CONNECTICUT AVENUE,NORWALK,06854-1700,235610,"Roofing, Siding, and Sheet Metal Contractors (1997 NAICS)",0,2008-02-15,2019-05-31,"(33.847, -118.3093)",90501,90501.0,33.847,-118.3093
0000943271-0001-1,MONTE NAPOLEONE INC,,1922 WESTWOOD BLVD,LOS ANGELES,90025-4614,1922 WESTWOOD 90025-4614,548 COLUMBIA CREEK DRIVE,SAN RAMON,94582-5611,531100,Lessors of real estate (including mini warehouses & self-storage units),5,1998-11-10,,"(34.0478, -118.4351)",90025,90025.0,34.0478,-118.4351
0000779169-0001-8,UNITED RIGGERS/ERECTORS INC,,4188 VALLEY BLVD,WALNUT,91789-1446,4188 VALLEY 91789-1446,POST OFFICE BOX #728,WALNUT,91788-0728,234990,Other Heavy and Civil Engineering Construction,0,1967-01-01,,"(34.0358, -117.8248)",91789,91789.0,34.0358,-117.8248
0002435109-0002-2,NICOLE DAVENPORT,ARTEMIS OUTDOOR COMPANY,3705 W PICO BLVD SUITE #12117,LOS ANGELES,90019-3451,3705 PICO 90019-3451,,,,315000,Apparel mfg.,10,2018-09-04,,"(34.0474, -118.3213)",90019,90019.0,34.0474,-118.3213
0003116858-0001-8,TASHA PETTY,,4507 PROSPECT AVENUE,LOS ANGELES,90027-5303,4507 PROSPECT 90027-5303,POST OFFICE BOX #291848,LOS ANGELES,90029-8848,512100,Motion picture & video industries (except video rental),4,2017-02-01,,"(34.1021, -118.2876)",90027,90027.0,34.1021,-118.2876
0002451359-0001-2,TEN30 INC,,1050 OBAN DRIVE,LOS ANGELES,90065-4257,1050 OBAN 90065-4257,770 THE CITY DRIVE S SUITE #8450,ORANGE,92868-4970,423400,Professional & commercial equipment & supplies,1,2009-05-01,,"(34.1146, -118.2187)",90065,90065.0,34.1146,-118.2187
0002991021-0001-3,ARA A KARDASHIAN ET AL,ARA A KARDASHIAN ET AL,1727 CAMDEN AVENUE,LOS ANGELES,90025-4442,1727 CAMDEN 90025-4442,POST OFFICE BOX #260052,ENCINO,91426-0052,532290,Other consumer goods rental,5,2017-01-24,,"(34.0473, -118.4419)",90025,90025.0,34.0473,-118.4419
0002887108-0001-8,BREATHCO INTERNATIONAL INC,ALLGRAFT,9420 LURLINE AVENUE   SUITE #F-1,CHATSWORTH,91311-6039,9420 LURLINE 91311-6039,,,,446190,Other health & personal care stores,12,2016-01-01,2018-12-31,"(34.2412, -118.584)",91311,91311.0,34.2412,-118.584
0002957832-0001-5,12027 RHODE ISLAND LLC,,18555 VENTURA BLVD   UNIT #E,TARZANA,91356-4192,18555 VENTURA 91356-4192,18555 VENTURA BLVD UNIT #E,TARZANA,91356-4192,531100,Lessors of real estate (including mini warehouses & self-storage units),3,2017-01-01,,"(34.1698, -118.5378)",91356,91356.0,34.1698,-118.5378
0000729035-0001-9,LASALLE DEVELOPMENT INC,SUBWAY 6785,10942 MAGNOLIA BLVD,N HOLLYWOOD,91601-3906,10942 MAGNOLIA 91601-3906,12902 FOOTHILL BLVD #J,SYLMAR,91342-4900,722110,Full-service restaurants,2,2003-08-23,2006-07-18,"(34.1649, -118.3693)",91601,91601.0,34.1649,-118.3693
0003392206-0001-4,AMY PIGLIACAMPO INTERIORS LLC,,2143 OLD TOPANGA CANYON ROAD,TOPANGA,90290-3939,2143 OLD TOPANGA CANYON 90290-3939,,,,812990,All other personal services,0,2023-07-01,,"(34.1195, -118.6342)",90290,90290.0,34.1195,-118.6342
0002919664-0001-8,ANDRE ALEXANDER HYCENKO,,11123 EMELITA STREET,NORTH HOLLYWOOD,91601-1308,11123 EMELITA 91601-1308,,,,541400,"Specialized design services (including interior, industrial, graphic, & fashion design)",2,2010-01-01,,"(34.177, -118.3738)",91601,91601.0,34.177,-118.3738
0003055297-0001-1,WELLESLEY PLAZA 1 LLC,,1242 WELLESLEY AVENUE,LOS ANGELES,90025-1138,1242 WELLESLEY 90025-1138,POST OFFICE BOX #2613,MALIBU,90265-7613,531100,Lessors of real estate (including mini warehouses & self-storage units),11,2017-10-12,,"(34.042, -118.4678)",90025,90025.0,34.042,-118.4678
0000325137-0001-5,RAJ/JULIETA DHINGRA,,915 MICHELTORENA STREET,LOS ANGELES,90026-2721,915 MICHELTORENA 90026-2721,,,,531100,Lessors of real estate (including mini warehouses & self-storage units),13,1976-08-01,,"(34.084, -118.278)",90026,90026.0,34.084,-118.278
0002852223-0001-5,MICHAEL KHACHO,CA GENERAL CONSTRUCTION,1044 RUBERTA AVENUE APT #A,GLENDALE,91201-2190,1044 RUBERTA 91201-2190,1015 LA RAMBLA DRIVE,BURBANK,91501-1621,238990,All other specialty trade contractors,0,2015-07-01,,"(34.1679, -118.2879)",91201,91201.0,34.1679,-118.2879
0002593998-0001-7,IKE ONUOHA,SCAN-A-LOT IMAGING,6615 SEPULVEDA BLVD UNIT #306,VAN NUYS,91411-1263,6615 SEPULVEDA 91411-1263,POST OFFICE BOX #8386,NEWPORT BEACH,92658-8386,541990,"All other professional, scientific, & technical services",6,2012-01-06,,"(34.1905, -118.4664)",91411,91411.0,34.1905,-118.4664
0002959569-0001-8,RONGIE CRUMP,GIGI'S BRAIDS AND STYLES,11501 BERENDO AVENUE,LOS ANGELES,90044-1204,11501 BERENDO 90044-1204,,,,812111,Barber shops,0,2011-01-01,,"(33.9298, -118.2949)",90044,90044.0,33.9298,-118.2949
0002067153-0001-7,ALEJANDRO ESCANDON,EVE FASHION,1242 SANTEE STREET   #210,LOS ANGELES,90015-4272,1242 SANTEE 90015-4272,799 TOWNE AVENUE SUITE #215,LOS ANGELES,90021-1432,315000,Apparel mfg.,14,2005-09-30,,"(34.0353, -118.2579)",90015,90015.0,34.0353,-118.2579
0002194831-0001-1,GLEN FIRE PROTECTION INC,,9350 VIA PATRICIA,BURBANK,91504-1319,9350 VIA PATRICIA 91504-1319,,,,541350,Building inspection services,2,2005-01-02,2018-11-19,"(34.2145, -118.3378)",91504,91504.0,34.2145,-118.3378
0002888475-0001-1,LISA BARILL,,19610 SUPERIOR STREET,NORTHRIDGE,91324-1650,19610 SUPERIOR 91324-1650,,,,721100,"Traveler accommodation (including hotels, motels, & bed & breakfast inns)",12,2016-01-09,2018-04-01,"(34.246, -118.5607)",91324,91324.0,34.246,-118.5607
0002794682-0001-0,BRIGITTE A MCKANNA,,21051 LASSEN STREET   #44,CHATSWORTH,91311-4273,21051 LASSEN 91311-4273,,,,621340,"Offices of physical, occupational & speech therapists, & audiologists",12,2015-01-01,,"(34.2504, -118.5924)",91311,91311.0,34.2504,-118.5924
0002587772-0001-9,TERESA PEDRASA,,519 W 49TH STREET,LOS ANGELES,90037-3319,519 49TH 90037-3319,,,,561720,Janitorial services,9,2010-01-01,,"(33.9987, -118.2831)",90037,90037.0,33.9987,-118.2831
0002720467-0001-5,17383 SUNSET OWNERCO LLC,,17373 W SUNSET BLVD,PACIFIC PALISADES,90272-4101,17373 SUNSET 90272-4101,,,,531310,Real estate property managers,11,2013-07-17,2018-12-31,"(34.0393, -118.5548)",90272,90272.0,34.0393,-118.5548
0002892180-0001-1,WELL SPRINGS INVESTMENTS LLC,,955 VENICE BLVD,LOS ANGELES,90015-3235,955 VENICE 90015-3235,955 VENICE BLVD,LOS ANGELES,90015-3235,531100,Lessors of real estate (including mini warehouses & self-storage units),1,2015-02-01,,"(34.0407, -118.2766)",90015,90015.0,34.0407,-118.2766
0002517331-0001-2,KI HONG KIM,,933 S WILTON PLACE,LOS ANGELES,90019-2134,933 WILTON 90019-2134,118 RAMONA DRIVE,FULLERTON,92833-2342,531100,Lessors of real estate (including mini warehouses & self-storage units),5,1988-05-05,,"(34.0548, -118.3142)",90019,90019.0,34.0548,-118.3142
0002870101-0001-9,REYNA ISABEL RIVAS FERNANDEZ,LOVELY ALICIA BRIDAL,5537 SANTA MONICA BLVD   UNIT #40,LOS ANGELES,90038-2901,5537 SANTA MONICA 90038-2901,,,,315000,Apparel mfg.,13,2015-11-30,2016-12-31,"(34.0911, -118.3105)",90038,90038.0,34.0911,-118.3105
0002931006-0001-1,"TAQUERIA TAPATIO NO. 2, LLC",,724 VINE STREET,LOS ANGELES,90038-3714,724 VINE 90038-3714,,,,722211,Limited-service eating places,13,2016-10-01,,"(34.0842, -118.3262)",90038,90038.0,34.0842,-118.3262
0003043549-0001-6,MICHAEL A MCEVILLEY,,6201 HOLLYWOOD BLVD   UNIT #1640,LOS ANGELES,90028-5379,6201 HOLLYWOOD 90028-5379,6201 HOLLYWOOD BLVD   APT #1640,LOS ANGELES,90028-5379,711510,"Independent artists, writers, & performers",13,2017-01-01,,"(34.1023, -118.3248)",90028,90028.0,34.1023,-118.3248
0002579948-0001-0,ALBERT GEORGE PHILLIPS,BUD PHILLIPS M DIV CADC11 NCAC11 ICADC SAP,2149 E GARVEY AVENUE N SUITE #A-2,WEST COVINA,91791-1508,2149 GARVEY 91791-1508,3410 CAMERO AVENUE,LA VERNE,91750-3411,541990,"All other professional, scientific, & technical services",0,2011-10-03,,"(34.0725, -117.9005)",91791,91791.0,34.0725,-117.9005
0003413804-0001-6,TRUE CLAIM GROUP LLC,,14646 DICKENS STREET APT #20,SHERMAN OAKS,91403-3612,14646 DICKENS 91403-3612,14646 DICKENS STREET APT #20,SHERMAN OAKS,91403,541600,"Management, scientific, & technical consulting services",0,2023-02-01,,"(34.1501, -118.4535)",91403,91403.0,34.1501,-118.4535
0002391995-0001-8,JUAN OCAMPO,OCAMPO FURNITURE,4061 S CENTRAL AVENUE,LOS ANGELES,90011-2734,4061 CENTRAL 90011-2734,,,,442110,Furniture stores,9,2007-08-01,2013-12-31,"(34.0099, -118.2565)",90011,90011.0,34.0099,-118.2565
0003126837-0001-2,ATZ L.A. CORPORATION OR INC,NAPA CANOGA PARK,7801 CANOGA AVENUE UNIT #1,CANOGA PARK,91304-5019,7801 CANOGA 91304-5019,721 TRUMAN STREET,SAN FERNANDO,91340-3314,335000,"Electrical equipment, appliance, & component mfg.",3,2019-05-01,,"(34.2124, -118.598)",91304,91304.0,34.2124,-118.598
